BC001_ID_Cliente,BC002_Edad,BC003_Genero,BC004_Estado_civil,BC005_Nivel_educativo,BC006_Segmento_socioeconomico,BC007_Ciudad_Zona,BC008_Antiguedad_meses,BC009_Canal_captacion,BC010_Tipo_cliente,BC011_Plan,BC012_Banda_valor_RFM,BC013_Frecuencia_compra,BC014_Num_pedidos_2024,BC015_Ticket_medio_EUR,BC016_Gasto_total_2024_EUR,BC017_Categoria_principal,BC018_Variedad_categorias,BC019_Pct_pedidos_descuento,BC020_Intensidad_descuento,BC021_Metodo_pago,BC022_Renovaciones_suscripcion,BC023_Dias_desde_ultima_compra,BC024_Tiempo_medio_entrega_dias,BC025_Retrasos_entrega_num,BC026_Incidencias_registradas_num,BC027_Contactos_atencion_num,BC028_Satisfaccion_entregas,BC029_Satisfaccion_plataforma,BC030_Estado_cliente,BC031_Tipo_abandono,BC032_Razon_abandono
VC000014,18,Femenino,Soltero/a,2,Medio,Barcelona,20,Referral,No suscripción,<no aplica>,1,Ocasional,1,41,40,Hogar,1,53,3,Tarjeta,0,18,2,0,0,0,3.0,3.0,Activo,<no informado>,<no informado>
VC000015,18,Masculino,Soltero/a,2,<no informado>,Barcelona,37,Orgánico,No suscripción,<no aplica>,4,Mensual,12,42,519,Cuidado personal,4,66,3,Tarjeta,0,0,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000016,32,Femenino,Casado/a,4,Medio,Barcelona,13,Orgánico,No suscripción,<no aplica>,5,Semanal,49,39,1794,Cuidado personal,7,8,1,Tarjeta,0,10,3,2,1,3,3.0,4.0,Activo,<no informado>,<no informado>
VC000017,27,Masculino,Casado/a,3,Medio,Madrid,28,Orgánico,No suscripción,<no aplica>,3,Quincenal,16,34,482,Cuidado personal,5,61,3,Tarjeta,0,22,1,0,0,1,4.0,4.0,Activo,<no informado>,<no informado>
VC000018,43,Masculino,Casado/a,4,Bajo,Barcelona,68,Orgánico,No suscripción,<no aplica>,3,Quincenal,15,38,468,Hogar,5,38,2,Wallet,0,24,3,0,0,0,3.0,3.0,Activo,<no informado>,<no informado>
VC000019,28,Masculino,Soltero/a,2,Medio,Barcelona,28,Orgánico,No suscripción,<no aplica>,1,Ocasional,2,37,64,Alimentación,2,49,2,Wallet,0,91,1,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000020,22,Femenino,Casado/a,2,Medio,Madrid,20,Email,No suscripción,<no aplica>,3,Mensual,8,40,363,Mascotas,3,28,2,Tarjeta,0,47,3,0,1,1,3.0,,Activo,<no informado>,<no informado>
VC000021,57,Femenino,Soltero/a,4,Alto,Valencia,79,Orgánico,No suscripción,<no aplica>,4,Mensual,12,57,647,MASCOTAS,6,52,3,PayPal,0,33,5,1,1,3,1.0,4.0,Activo,<no informado>,<no informado>
VC000022,36,Femenino,Soltero/a,3,Medio,Madrid,39,Orgánico,No suscripción,<no aplica>,5,Quincenal,17,61,1012,Bebés,7,38,2,Wallet,0,23,2,0,1,1,3.0,4.0,Activo,<no informado>,<no informado>
VC000023,40,Masculino,Soltero/a,4,Medio,Barcelona,13,Orgánico,No suscripción,<no aplica>,4,Quincenal,16,42,628,Cuidado personal,5,49,2,Tarjeta,0,8,2,1,1,2,3.0,4.0,Activo,<no informado>,<no informado>
VC000024,22,Masculino,Casado/a,1,Medio,Barcelona,45,Email,No suscripción,<no aplica>,5,Quincenal,14,57,820,Otros,6,21,2,PayPal,0,26,2,1,0,1,3.0,3.0,Activo,<no informado>,<no informado>
VC000025,32,Femenino,Casado/a,4,Bajo,Madrid,29,Orgánico,No suscripción,<no aplica>,1,Ocasional,1,22,22,Cuidado personal,1,70,3,Wallet,0,19,2,0,1,2,4.0,4.0,Activo,<no informado>,<no informado>
VC000026,40,Masculino,Soltero/a,3,Bajo,Barcelona,50,Orgánico,No suscripción,<no aplica>,4,Mensual,17,44,718,Cuidado personal,5,14,1,Tarjeta,0,50,3,2,0,2,3.0,4.0,Activo,<no informado>,<no informado>
VC000027,25,Femenino,Viudo/a,2,Medio,Barcelona,34,Marketplace,No suscripción,<no aplica>,4,Mensual,10,52,504,Hogar,5,67,3,Tarjeta,0,17,1,1,0,1,4.0,4.0,Activo,<no informado>,<no informado>
VC000028,44,Femenino,Divorciado/a,3,Medio,Barcelona,45,Ads,No suscripción,<no aplica>,1,Ocasional,1,30,34,Cuidado personal,2,58,3,Wallet,0,92,4,0,0,0,2.0,4.0,Activo,<no informado>,<no informado>
VC000029,32,Femenino,Casado/a,4,Bajo,Valencia,103,Referral,No suscripción,<no aplica>,3,Mensual,10,37,380,Alimentación,4,10,1,Tarjeta,0,50,3,0,1,1,3.0,2.0,Activo,<no informado>,<no informado>
VC000030,35,Femenino,<no informado>,1,Medio,Valencia,13,Afiliados,No suscripción,<no aplica>,4,Mensual,19,35,582,Cuidado personal,8,21,2,Wallet,0,12,2,1,0,1,2.0,4.0,Activo,<no informado>,<no informado>
VC000031,32,Femenino,<no informado>,<no informado>,Medio,valencia,20,Orgánico,No suscripción,<no aplica>,2,Mensual,7,40,228,Bebés,4,56,3,PayPal,0,33,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000032,61,Masculino,Casado/a,3,Medio,Barcelona,36,Email,No suscripción,<no aplica>,5,Semanal,24,39,881,Hogar,4,14,1,Tarjeta,0,12,2,0,1,2,3.0,4.0,Activo,<no informado>,<no informado>
VC000033,39,Femenino,Casado/a,2,Medio,Barcelona,11,Referral,No suscripción,<no aplica>,1,Ocasional,2,31,56,Otros,2,58,3,Transferencia,0,203,3,0,0,0,3.0,4.0,Inactivo,Voluntario,Competencia
VC000034,26,Femenino,Viudo/a,2,Medio,Madrid,56,Ads,No suscripción,<no aplica>,2,Ocasional,3,64,178,hogar,2,37,2,Wallet,0,57,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000035,49,Masculino,Casado/a,2,Medio,Madrid,24,Orgánico,No suscripción,<no aplica>,1,Ocasional,2,38,79,Cuidado personal,2,48,2,Tarjeta,0,35,3,0,0,2,3.0,3.0,Activo,<no informado>,<no informado>
VC000036,24,Femenino,Soltero/a,2,Bajo,MAD,42,Ads,No suscripción,<no aplica>,2,Mensual,10,23,173,Cuidado personal,4,64,3,Tarjeta,0,170,3,0,0,1,3.0,4.0,Inactivo,Voluntario,Precio
VC000037,42,Masculino,Casado/a,3,Alto,Barcelona,12,Ads,No suscripción,<no aplica>,2,Ocasional,3,50,180,Cuidado personal,3,61,3,Contra reembolso,0,88,2,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000038,18,Femenino,Soltero/a,4,Bajo,Barcelona,17,Orgánico,No suscripción,<no aplica>,2,Ocasional,2,55,113,Bebes,2,37,2,PayPal,0,64,2,0,0,0,3.0,3.0,Activo,<no informado>,<no informado>
VC000039,23,Masculino,Casado/a,3,Medio,Madrid,44,Marketplace,No suscripción,<no aplica>,2,Ocasional,5,37,169,Hogar,3,41,2,Tarjeta,0,63,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000040,41,Masculino,Soltero/a,3,Medio,Valencia,8,Orgánico,No suscripción,<no aplica>,4,Quincenal,23,29,671,Bebés,5,59,3,PayPal,0,9,2,0,0,0,3.0,3.0,Activo,<no informado>,<no informado>
VC000041,48,Femenino,Soltero/a,1,Bajo,Barcelona,38,Ads,No suscripción,<no aplica>,3,Mensual,6,49,309,Cuidado personal,3,71,3,Tarjeta,0,9,1,0,0,1,4.0,3.0,Activo,<no informado>,<no informado>
VC000042,41,Masculino,Soltero/a,4,Medio,MAD,86,Email,No suscripción,<no aplica>,4,Quincenal,17,61,757,Cuidado personal,5,33,2,Tarjeta,0,5,3,1,1,2,2.0,4.0,Activo,<no informado>,<no informado>
VC000043,38,Masculino,Divorciado/a,2,Alto,Madrid,3,Ads,No suscripción,<no aplica>,5,Quincenal,15,72,889,OTROS,5,61,3,Tarjeta,0,28,3,1,1,2,2.0,,Activo,<no informado>,<no informado>
VC000044,35,Masculino,Soltero/a,2,Medio,Madrid,19,Marketplace,No suscripción,<no aplica>,2,Mensual,8,23,183,Hogar,6,18,1,,0,21,2,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000045,21,Femenino,Soltero/a,3,Medio,Madrid,12,Referral,No suscripción,<no aplica>,2,Mensual,9,24,238,Cuidado personal,3,70,3,Tarjeta,0,13,2,1,2,3,3.0,4.0,Activo,<no informado>,<no informado>
VC000046,30,Femenino,Soltero/a,4,Medio,Valencia,24,Referral,No suscripción,<no aplica>,1,Ocasional,1,48,48,Alimentación,1,30,2,PayPal,0,58,2,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000047,33,Masculino,Casado/a,<no informado>,Medio,Barcelona,38,Referral,No suscripción,<no aplica>,3,Mensual,9,51,449,Alimentación,4,29,2,Wallet,0,163,3,0,0,0,4.0,4.0,Inactivo,Voluntario,Competencia
VC000048,52,Masculino,<no informado>,5,Medio,Madrid,15,Marketplace,No suscripción,<no aplica>,3,Quincenal,11,33,348,Bebés,4,86,3,Tarjeta,0,25,2,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000049,43,Femenino,Soltero/a,4,Medio,MAD,14,Ads,No suscripción,<no aplica>,3,Mensual,11,49,463,Hogar,5,40,2,Tarjeta,0,363,2,0,2,3,,4.0,Inactivo,Involuntario,Fraude/impago
VC000050,18,Femenino,Soltero/a,3,<no informado>,Barcelona,28,Email,No suscripción,<no aplica>,1,Ocasional,1,24,24,Cuidado personal,1,24,2,Tarjeta,0,111,1,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000051,43,Femenino,Casado/a,2,Alto,Valencia,17,Orgánico,No suscripción,<no aplica>,5,Mensual,14,62,875,Bebés,6,48,2,PayPal,0,279,5,1,0,1,2.0,4.0,Inactivo,Voluntario,Atención al cliente
VC000052,34,Femenino,Casado/a,3,Medio,Madrid,29,Referral,No suscripción,<no aplica>,2,Ocasional,2,54,112,Alimentación,3,38,2,Tarjeta,0,174,1,0,0,0,4.0,4.0,Inactivo,Voluntario,Precio
VC000053,31,Femenino,Soltero/a,1,Bajo,Barcelona,12,Ads,No suscripción,<no aplica>,2,Mensual,10,32,266,HOGAR ,4,19,1,Tarjeta,0,257,1,0,0,0,4.0,4.0,Inactivo,Voluntario,Precio
VC000054,46,Femenino,Soltero/a,2,Medio,Valencia,76,Referral,No suscripción,<no aplica>,3,Mensual,8,48,349,Otros,4,76,3,Tarjeta,0,202,2,0,0,0,3.0,4.0,Inactivo,Voluntario,Competencia
VC000055,51,Femenino,Casado/a,1,Medio,Barcelona,21,Ads,No suscripción,<no aplica>,1,Ocasional,1,18,20,Alimentacion,1,33,2,Tarjeta,0,242,2,0,0,0,3.0,4.0,Inactivo,Voluntario,Competencia
VC000056,50,Femenino,Soltero/a,2,Medio,Valencia,12,Email,No suscripción,<no aplica>,3,Mensual,12,34,381,Alimentación,4,26,2,Tarjeta,0,58,1,0,0,1,3.0,4.0,Activo,<no informado>,<no informado>
VC000057,29,Masculino,Divorciado/a,3,Medio,Madrid,24,Referral,No suscripción,<no aplica>,2,Ocasional,5,36,191,Cuidado personal,4,30,2,Transferencia,0,96,2,0,0,0,3.0,3.0,Activo,<no informado>,<no informado>
VC000058,35,Femenino,Soltero/a,2,Medio,Barcelona,7,Afiliados,No suscripción,<no aplica>,3,Mensual,10,36,325,Otros,4,64,3,PayPal,0,9,2,0,0,1,4.0,4.0,Activo,<no informado>,<no informado>
VC000059,43,Femenino,Soltero/a,2,Medio,Madrid,38,Afiliados,No suscripción,<no aplica>,2,Ocasional,7,26,173,Cuidado personal,4,57,3,Tarjeta,0,114,2,0,0,1,3.0,4.0,Activo,<no informado>,<no informado>
VC000060,51,Femenino,Pareja de hecho,4,Alto,Barcelona,26,Orgánico,No suscripción,<no aplica>,2,Ocasional,5,54,239,Bebés,4,19,1,Transferencia,0,70,5,0,1,2,2.0,4.0,Activo,<no informado>,<no informado>
VC000061,33,Masculino,Divorciado/a,,Bajo,Madrid,8,Email,No suscripción,<no aplica>,3,Mensual,7,44,332,Cuidado personal,2,69,3,PayPal,0,52,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000062,37,Masculino,Soltero/a,4,Bajo,BARCELONA ,22,Ads,No suscripción,<no aplica>,1,Mensual,4,29,84,Cuidado personal,3,53,3,Tarjeta,0,99,2,0,0,0,4.0,4.0,Inactivo,Voluntario,Precio
VC000063,26,Masculino,Viudo/a,3,Medio,Madrid ,16,Orgánico,No suscripción,<no aplica>,4,Quincenal,18,32,646,Bebés,5,42,2,Tarjeta,0,233,2,2,1,4,3.0,4.0,Inactivo,Involuntario,Fraude/impago
VC000064,25,Femenino,,2,Medio,Barcelona,21,Orgánico,No suscripción,<no aplica>,4,Mensual,10,55,634,Cuidado personal,4,43,2,Tarjeta,0,59,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000065,49,Masculino,Soltero/a,2,Medio,Barcelona,16,Orgánico,No suscripción,<no aplica>,2,Ocasional,3,38,130,Hogar,3,12,1,Wallet,0,118,4,0,0,0,2.0,4.0,Inactivo,Voluntario,Competencia
VC000066,55,Femenino,Casado/a,3,Alto,Valencia,22,Ads,No suscripción,<no aplica>,5,Mensual,13,66,801,Cuidado personal,3,82,3,Wallet,0,49,3,0,0,0,2.0,4.0,Activo,<no informado>,<no informado>
VC000067,38,Femenino,Soltero/a,4,Medio,Barcelona,66,Ads,No suscripción,<no aplica>,4,Quincenal,19,33,744,Hogar,5,33,2,Wallet,0,22,3,0,2,3,3.0,4.0,Activo,<no informado>,<no informado>
VC000068,51,Masculino,Soltero/a,2,Medio,Barcelona,27,Ads,No suscripción,<no aplica>,1,Ocasional,1,40,38,Bebés,1,63,3,Tarjeta,0,96,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000069,43,Masculino,Soltero/a,4,Bajo,Barcelona,36,Ads,No suscripción,<no aplica>,1,Ocasional,2,16,33,Cuidado personal,2,65,3,PayPal,0,33,2,0,0,0,4.0,3.0,Activo,<no informado>,<no informado>
VC000070,31,Masculino,Casado/a,3,Medio,Madrid,85,Afiliados,No suscripción,<no aplica>,2,Mensual,9,28,266,Alimentación,4,23,2,Tarjeta,0,145,3,0,0,0,3.0,4.0,Inactivo,Voluntario,<no informado>
VC000071,43,Masculino,Pareja de hecho,,Medio,Barcelona,36,Orgánico,No suscripción,<no aplica>,5,Semanal,44,27,1269,Otros,6,35,2,Tarjeta,0,187,3,2,2,4,2.0,4.0,Inactivo,Voluntario,Atención al cliente
VC000072,57,Masculino,Casado/a,3,Medio,Barcelona,37,Orgánico,No suscripción,<no aplica>,4,Mensual,8,55,515,Alimentación,4,27,2,Tarjeta,0,237,1,0,0,0,3.0,3.0,Inactivo,Voluntario,Competencia
VC000073,39,Femenino,Casado/a,3,Medio,Barcelona,79,Email,No suscripción,<no aplica>,3,Quincenal,17,19,336,Alimentación,3,17,1,Contra reembolso,0,17,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000074,58,Femenino,Casado/a,1,Medio,Valencia,14,Ads,No suscripción,<no aplica>,2,Mensual,6,31,212,Hogar,4,32,2,PayPal,0,54,1,0,1,1,4.0,4.0,Activo,<no informado>,<no informado>
VC000075,18,Femenino,Casado/a,2,<no informado>,Madrid,7,Orgánico,No suscripción,<no aplica>,4,Quincenal,15,49,752,Hogar,5,45,2,Wallet,0,16,3,0,0,0,2.0,4.0,Activo,<no informado>,<no informado>
VC000076,49,Masculino,Pareja de hecho,4,Medio,Madrid,34,Marketplace,No suscripción,<no aplica>,2,Ocasional,5,51,269,Otros,3,43,2,PayPal,0,18,1,0,0,2,4.0,4.0,Activo,<no informado>,<no informado>
VC000077,40,Femenino,Soltero/a,3,Medio,Madrid,19,Ads,No suscripción,<no aplica>,1,Ocasional,2,42,94,Hogar,2,19,1,PayPal,0,106,3,0,0,0,2.0,3.0,Inactivo,Voluntario,Competencia
VC000078,35,Masculino,Casado/a,2,Medio,Madrid,19,Ads,No suscripción,<no aplica>,5,Semanal,43,37,1627,Cuidado personal,5,78,3,PayPal,0,10,3,1,0,1,3.0,3.0,Activo,<no informado>,<no informado>
VC000079,40,Femenino,Casado/a,4,Medio,Madrid,32,Referral,No suscripción,<no aplica>,5,Mensual,13,68,876,Otros,5,58,3,PayPal,0,57,3,0,1,1,3.0,3.0,Activo,<no informado>,<no informado>
VC000080,18,Femenino,Pareja de hecho,2,Bajo,Madrid,45,Ads,No suscripción,<no aplica>,4,Mensual,11,45,570,Otros,5,13,1,Tarjeta,0,5,1,1,1,3,4.0,3.0,Activo,<no informado>,<no informado>
VC000081,36,Femenino,Soltero/a,2,Bajo,Barcelona,65,Email,No suscripción,<no aplica>,5,Quincenal,23,47,1110,Hogar,6,11,1,Tarjeta,0,12,2,0,1,2,4.0,3.0,Activo,<no informado>,<no informado>
VC000082,43,Femenino,Soltero/a,2,Bajo,Barcelona,33,Ads,No suscripción,<no aplica>,2,Mensual,7,22,167,Hogar,4,64,3,Tarjeta,0,30,3,0,2,2,3.0,4.0,Activo,<no informado>,<no informado>
VC000083,57,Masculino,Casado/a,4,Alto,Madrid,15,Ads,No suscripción,<no aplica>,1,Ocasional,1,49,41,Cuidado personal,1,47,2,Wallet,0,269,4,0,0,0,2.0,3.0,Inactivo,Voluntario,Competencia
VC000084,33,Femenino,Divorciado/a,3,Medio,Barcelona,12,Ads,No suscripción,<no aplica>,5,Quincenal,19,58,987,Alimentación,6,14,1,Tarjeta,0,202,1,1,2,3,4.0,4.0,Inactivo,Voluntario,Competencia
VC000085,29,Femenino,Casado/a,3,Medio,Madrid,64,Afiliados,No suscripción,<no aplica>,3,Quincenal,18,25,404,Alimentación,5,6,1,Tarjeta,0,308,1,1,0,2,4.0,4.0,Inactivo,Voluntario,Competencia
VC000086,33,Femenino,Viudo/a,5,Medio,Valencia,16,Ads,No suscripción,<no aplica>,4,Quincenal,17,34,641,Mascotas,5,66,3,Transferencia,0,17,3,2,0,1,3.0,4.0,Activo,<no informado>,<no informado>
VC000087,50,Femenino,Soltero/a,4,Medio,Valencia,18,Ads,No suscripción,<no aplica>,1,Ocasional,1,46,46,Cuidado personal,1,57,3,Tarjeta,0,269,3,0,0,1,3.0,4.0,Inactivo,Voluntario,Competencia
VC000088,43,Femenino,Casado/a,2,Medio,Barcelona,26,Ads,No suscripción,<no aplica>,2,Mensual,6,50,268,Hogar,3,31,2,PayPal,0,40,1,1,0,2,4.0,3.0,Activo,<no informado>,<no informado>
VC000089,33,Femenino,Casado/a,4,Medio,Barcelona,25,Orgánico,No suscripción,<no aplica>,4,Quincenal,17,26,513,Alimentación,4,19,1,Tarjeta,0,7,2,1,1,2,4.0,3.0,Activo,<no informado>,<no informado>
VC000090,45,Masculino,Casado/a,3,Alto,BCN,24,Referral,No suscripción,<no aplica>,5,Quincenal,17,55,917,cuidado personal,6,20,1,Tarjeta,0,240,2,1,0,1,4.0,,Inactivo,Voluntario,Competencia
VC000091,40,Femenino,Pareja de hecho,2,Alto,Madrid,20,Orgánico,No suscripción,<no aplica>,5,Quincenal,18,47,987,Alimentación,4,17,1,Tarjeta,0,18,2,1,1,2,3.0,4.0,Activo,<no informado>,<no informado>
VC000092,51,Femenino,Divorciado/a,2,Medio,Madrid,47,Referral,No suscripción,<no aplica>,3,Mensual,11,40,458,Bebés,2,39,2,Tarjeta,0,355,3,1,1,2,2.0,4.0,Inactivo,Voluntario,Experiencia logística
VC000093,31,Masculino,Casado/a,3,Alto,Barcelona,29,Afiliados,No suscripción,<no aplica>,5,Semanal,40,40,1418,Mascotas,9,28,2,Tarjeta,0,294,3,0,1,1,3.0,4.0,Inactivo,Voluntario,Precio
VC000094,35,Femenino,Casado/a,2,Bajo,Barcelona,96,Referral,No suscripción,<no aplica>,3,Quincenal,15,22,356,Hogar,6,43,2,Wallet,0,289,4,4,0,3,2.0,4.0,Inactivo,Voluntario,Competencia
VC000095,34,Femenino,Divorciado/a,2,Bajo,VAL,23,Email,No suscripción,<no aplica>,3,Mensual,11,36,400,Alimentación,6,27,2,Wallet,0,39,2,0,0,0,2.0,4.0,Activo,<no informado>,<no informado>
VC000096,21,Masculino,Casado/a,3,Medio,Valencia,95,Orgánico,No suscripción,<no aplica>,2,Mensual,7,29,157,Bebés,3,66,3,Tarjeta,0,171,3,0,1,1,2.0,3.0,Inactivo,Voluntario,Experiencia logística
VC000097,43,Femenino,Divorciado/a,4,Alto,Madrid,5,Email,No suscripción,<no aplica>,3,Mensual,6,52,354,Alimentación,2,41,2,Tarjeta,0,121,2,0,0,1,4.0,4.0,Inactivo,Voluntario,Precio
VC000098,42,Masculino,Divorciado/a,1,Medio,Barcelona,58,Email,No suscripción,<no aplica>,5,Semanal,30,36,823,Mascotas,8,36,2,Tarjeta,0,175,2,2,2,3,3.0,3.0,Inactivo,Voluntario,Experiencia logística
VC000099,39,Masculino,Casado/a,3,Medio,Barcelona,43,Ads,No suscripción,<no aplica>,1,Ocasional,1,62,70,Alimentación,1,52,3,Tarjeta,0,41,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000100,36,Masculino,Pareja de hecho,3,Bajo,VAL,4,Email,No suscripción,<no aplica>,1,Ocasional,2,36,72,Cuidado personal,2,45,2,Tarjeta,0,0,1,0,0,0,4.0,4.0,Activo,<no informado>,<no informado>
VC000101,22,Masculino,Casado/a,3,<no informado>,Barcelona,91,Ads,No suscripción,<no aplica>,4,Mensual,15,44,595,Cuidado personal,5,54,3,Tarjeta,0,197,4,1,0,1,2.0,4.0,Inactivo,Voluntario,Experiencia logística
VC000102,34,Femenino,Soltero/a,<no informado>,Medio,Barcelona,28,Email,No suscripción,<no aplica>,1,Ocasional,1,46,46,Mascotas,1,39,2,Tarjeta,0,36,1,0,0,1,4.0,3.0,Activo,<no informado>,<no informado>
VC000103,35,Femenino,Casado/a,3,Medio,Barcelona,34,Referral,No suscripción,<no aplica>,4,Quincenal,19,34,639,Cuidado personal,3,15,1,Tarjeta,0,19,3,0,1,1,3.0,3.0,Activo,<no informado>,<no informado>
VC000104,29,Femenino,Soltero/a,3,<no informado>,Barcelona,14,Ads,No suscripción,<no aplica>,3,Mensual,7,54,331,Hogar,2,58,3,Contra reembolso,0,19,1,0,1,1,4.0,4.0,Activo,<no informado>,<no informado>
VC000105,37,Femenino,Casado/a,<no informado>,Bajo,Valencia,11,Orgánico,No suscripción,<no aplica>,1,Mensual,5,19,99,Mascotas,4,87,3,Tarjeta,0,32,3,0,1,1,4.0,3.0,Activo,<no informado>,<no informado>
VC000106,44,Masculino,Divorciado/a,1,Medio,Madrid,14,Email,No suscripción,<no aplica>,5,Semanal,33,73,2121,Hogar,7,39,2,Wallet,0,2,4,1,2,3,3.0,4.0,Activo,<no informado>,<no informado>
VC000107,62,Masculino,Soltero/a,1,Bajo,Madrid,12,Orgánico,No suscripción,<no aplica>,3,Quincenal,17,33,353,Alimentación,7,60,3,Tarjeta,0,119,3,2,0,1,2.0,4.0,Inactivo,Voluntario,Precio
VC000108,41,Femenino,Soltero/a,3,Medio,BARCELONA ,16,Ads,No suscripción,<no aplica>,2,Ocasional,3,48,142,Mascotas,2,46,2,Tarjeta,0,118,3,0,0,0,3.0,4.0,Activo,<no informado>,<no informado>
VC000109,42,Masculino,Casado/a,2,Bajo,Madrid,53,Referral,No suscripción,<no aplica>,4,Mensual,13,36,548,Alimentación,5,43,2,Tarjeta,0,38,1,0,2,2,4.0,4.0,Activo,<no informado>,<no informado>
VC000110,38,Femenino,Casado/a,1,Medio,Barcelona,58,Afiliados,No suscripción,<no aplica>,1,Ocasional,1,29,32,Cuidado personal,1,61,3,Contra reembolso,0,102,3,1,0,1,3.0,3.0,Activo,<no informado>,<no informado>
